step,loss,lr,grad_norm
0,0.247070,2.497502e-08,2.3503
1,0.233398,4.995005e-08,1.7554
2,0.259766,7.492507e-08,2.1760
3,0.237305,9.990010e-08,2.4282
4,0.240234,1.248751e-07,2.4023
5,0.233398,1.498501e-07,1.9115
6,0.234375,1.748252e-07,2.0164
7,0.234375,1.998002e-07,1.7927
8,0.257812,2.247752e-07,1.8614
9,0.255859,2.497502e-07,2.9996
10,0.246094,2.747253e-07,2.6543
11,0.241211,2.997003e-07,2.9109
12,0.246094,3.246753e-07,2.9713
13,0.234375,3.496503e-07,2.3946
14,0.225586,3.746254e-07,1.8888
15,0.200195,3.996004e-07,1.4945
16,0.209961,4.245754e-07,1.6289
17,0.188477,4.495504e-07,1.4048
18,0.181641,4.745255e-07,1.3555
19,0.175781,4.995005e-07,1.3850
20,0.168945,5.244755e-07,1.5607
21,0.162109,5.494505e-07,1.2587
22,0.157227,5.744256e-07,1.4005
23,0.166016,5.994006e-07,2.1599
24,0.176758,6.243756e-07,1.5184
25,0.167969,6.493506e-07,1.9810
26,0.177734,6.743257e-07,3.6770
27,0.165039,6.993007e-07,1.7105
28,0.155273,7.242757e-07,1.1760
29,0.145508,7.492507e-07,0.9690
30,0.138672,7.742258e-07,0.9062
31,0.121582,7.992008e-07,0.8589
32,0.116211,8.241758e-07,0.9687
33,0.112305,8.491508e-07,0.9715
34,0.120605,8.741259e-07,0.8917
35,0.129883,8.991009e-07,0.8730
36,0.110840,9.240759e-07,0.7553
37,0.108887,9.490509e-07,0.7346
38,0.101562,9.740260e-07,0.6490
39,0.113281,9.990010e-07,0.7145
40,0.114258,1.023976e-06,0.6841
41,0.105957,1.048951e-06,0.6867
42,0.106445,1.073926e-06,0.7008
43,0.101074,1.098901e-06,0.6631
44,0.111328,1.123876e-06,0.6521
45,0.110352,1.148851e-06,0.6492
46,0.101562,1.173826e-06,0.6350
47,0.090332,1.198801e-06,0.5583
48,0.090820,1.223776e-06,0.5606
49,0.092773,1.248751e-06,0.5752
