step,rlinf_loss,ref_loss,abs_delta,rlinf_lr,rlinf_grad_norm
82,0.03125,0.051758,0.020508,2.0729273728647968e-06,0.26498
83,0.038483,0.046631,0.008148,2.0979020973754814e-06,0.28242
84,0.048813,0.051758,0.002945,2.1228770492598414e-06,0.38779
85,0.025528,0.054688,0.02916,2.1478520011442015e-06,0.39151
86,0.024658,0.047119,0.022461,2.172827180402237e-06,0.25468
87,0.036171,0.042236,0.006065,2.197802132286597e-06,0.28679
88,0.03566,0.050537,0.014877,2.222777538918308e-06,0.2877
89,0.040634,0.049072,0.008438,2.2477522634289926e-06,0.34847
90,0.039551,0.050537,0.010986,2.2727272153133526e-06,0.27802
91,0.032631,0.047852,0.015221,2.2977021671977127e-06,0.27374
92,0.044617,0.039795,0.004822,2.322677346455748e-06,0.42326
93,0.021286,0.041992,0.020706,2.3476522983401082e-06,0.22625
94,0.024063,0.043945,0.019882,2.372627704971819e-06,0.25991
95,0.04528,0.04126,0.004021,2.397602429482504e-06,0.36212
96,0.026901,0.041748,0.014847,2.422577381366864e-06,0.21162
97,0.027832,0.037109,0.009277,2.447552333251224e-06,0.37891
98,0.028305,0.034668,0.006363,2.4725275125092594e-06,0.23224
99,0.022697,0.044189,0.021492,2.4975024643936194e-06,0.21608
100,0.036179,0.050537,0.014359,2.5224774162779795e-06,0.37706
101,0.027596,0.049316,0.021721,2.547452595536015e-06,0.21436
102,0.028351,0.05127,0.022919,2.572427547420375e-06,0.25464
103,0.027115,0.043457,0.016342,2.597402499304735e-06,0.27286
104,0.026657,0.052002,0.025345,2.622377451189095e-06,0.24549
105,0.031662,0.051514,0.019852,2.6473526304471307e-06,0.45634
106,0.028473,0.044922,0.016449,2.672327809705166e-06,0.31752
107,0.022205,0.054688,0.032482,2.697302761589526e-06,0.263
108,0.037796,0.05127,0.013474,2.7222777134738863e-06,0.42576
109,0.03933,0.044922,0.005592,2.7472526653582463e-06,0.36371
110,0.031059,0.047119,0.01606,2.7722276172426064e-06,0.37439
111,0.021904,0.05127,0.029366,2.797202796500642e-06,0.29075
112,0.029694,0.044189,0.014496,2.8221779757586773e-06,0.52635
113,0.026497,0.031128,0.004631,2.8471529276430374e-06,0.31801
114,0.021362,0.038086,0.016724,2.8721278795273975e-06,0.23694
115,0.022736,0.039062,0.016327,2.8971028314117575e-06,0.23443
116,0.034073,0.047852,0.013779,2.9220777832961176e-06,0.42823
117,0.019783,0.043213,0.02343,2.947052962554153e-06,0.35082
118,0.026657,0.042969,0.016312,2.9720281418121886e-06,0.33585
119,0.031242,0.040039,0.008797,2.9970030936965486e-06,0.29104
120,0.034729,0.036377,0.001648,3.0219780455809087e-06,0.38019
121,0.029083,0.035889,0.006805,3.0469529974652687e-06,0.26334
122,0.028778,0.039062,0.010284,3.0719279493496288e-06,0.39214
123,0.021339,0.039062,0.017723,3.0969026738603134e-06,0.23612
124,0.027901,0.036865,0.008965,3.1218783078656998e-06,0.28957
125,0.022049,0.0354,0.013351,3.14685325975006e-06,0.22201
126,0.02066,0.042236,0.021576,3.17182821163442e-06,0.22666
127,0.032562,0.044678,0.012115,3.19680316351878e-06,0.20892
128,0.030022,0.035889,0.005867,3.2217778880294645e-06,0.3089
129,0.030579,0.036865,0.006287,3.2467537494085263e-06,0.30079
130,0.022827,0.03833,0.015503,3.271728473919211e-06,0.31194
131,0.019127,0.033936,0.014809,3.296703425803571e-06,0.24992
132,0.02018,0.034424,0.014244,3.321678377687931e-06,0.22967
133,0.028183,0.034912,0.006729,3.346653329572291e-06,0.23647
134,0.023769,0.032471,0.008701,3.3716280540829757e-06,0.21899
135,0.033127,0.023438,0.009689,3.3966030059673358e-06,0.34103
136,0.030441,0.02356,0.006882,3.421578639972722e-06,0.44607
137,0.022591,0.031738,0.009148,3.446553591857082e-06,0.301
138,0.023506,0.023926,0.00042,3.4715285437414423e-06,0.2617
139,0.016998,0.02478,0.007782,3.4965034956258023e-06,0.21357
140,0.019886,0.026489,0.006603,3.521478220136487e-06,0.18392
141,0.028664,0.031738,0.003075,3.5464540815155488e-06,0.2109
142,0.023323,0.026123,0.0028,3.5714288060262334e-06,0.21539
143,0.02533,0.029663,0.004333,3.5964037579105934e-06,0.35788
144,0.022789,0.025757,0.002968,3.6213787097949535e-06,0.74965
145,0.023598,0.032471,0.008873,3.6463536616793135e-06,0.15616
146,0.027687,0.040283,0.012596,3.671328386189998e-06,0.24814
147,0.021233,0.02832,0.007088,3.696303338074358e-06,0.17775
148,0.020004,0.021729,0.001724,3.7212789720797446e-06,0.23036
149,0.02681,0.02002,0.00679,3.7462539239641046e-06,0.27237
150,0.025627,0.026367,0.00074,3.7712288758484647e-06,0.33476
151,0.017563,0.031738,0.014175,3.7962038277328247e-06,0.21209
152,0.025536,0.045166,0.01963,3.821178779617185e-06,0.19695
153,0.023468,0.032471,0.009003,3.846154413622571e-06,0.23847
154,0.01392,0.035156,0.021236,3.871129138133256e-06,0.18123
155,0.022148,0.0354,0.013252,3.89610386264394e-06,0.18713
156,0.01812,0.032471,0.014351,3.921079041901976e-06,0.19439
157,0.021851,0.03064,0.008789,3.9460537664126605e-06,0.19531
158,0.020103,0.032715,0.012611,3.971028945670696e-06,0.20782
159,0.019512,0.037598,0.018085,3.996003670181381e-06,0.14461
160,0.026123,0.042236,0.016113,4.020978394692065e-06,0.22521
161,0.017441,0.03833,0.020889,4.045954028697452e-06,0.18353
162,0.020607,0.048828,0.028221,4.070929207955487e-06,0.27007
163,0.013138,0.035645,0.022507,4.095903932466172e-06,0.13427
164,0.023132,0.035889,0.012756,4.120879111724207e-06,0.18741
165,0.017807,0.033936,0.016129,4.1458547457295936e-06,0.16082
166,0.01749,0.037598,0.020107,4.170829470240278e-06,0.18823
167,0.019791,0.029053,0.009262,4.195804194750963e-06,0.20632
168,0.019836,0.021973,0.002136,4.220779374008998e-06,0.18321
169,0.011997,0.024536,0.012539,4.245754098519683e-06,0.12178
170,0.020687,0.031738,0.011051,4.270729277777718e-06,0.18811
171,0.02631,0.029297,0.002987,4.295704002288403e-06,0.27497
172,0.030491,0.033203,0.002712,4.320678726799088e-06,0.24033
173,0.017094,0.029785,0.012691,4.345654360804474e-06,0.21126
174,0.023148,0.031006,0.007858,4.3706295400625095e-06,0.23787
175,0.014194,0.045898,0.031704,4.395604264573194e-06,0.15221
176,0.020012,0.027588,0.007576,4.42057944383123e-06,0.1932
177,0.012566,0.024048,0.011482,4.445555077836616e-06,0.1832
178,0.019211,0.033203,0.013992,4.4705298023473006e-06,0.26596
179,0.01757,0.037598,0.020027,4.495504526857985e-06,0.1606
180,0.022175,0.026123,0.003948,4.520479706116021e-06,0.23015
181,0.016975,0.020508,0.003532,4.545454430626705e-06,0.19173
182,0.024452,0.022949,0.001503,4.570429609884741e-06,0.21164
183,0.019211,0.022827,0.003616,4.595404334395425e-06,0.18669
184,0.027725,0.018677,0.009048,4.62037905890611e-06,0.37543
185,0.018978,0.028076,0.009098,4.645354692911496e-06,0.18903
186,0.019615,0.034424,0.014809,4.670329872169532e-06,0.17957
187,0.017166,0.027832,0.010666,4.6953045966802165e-06,0.16442
188,0.018288,0.026855,0.008568,4.720279775938252e-06,0.31006
189,0.021301,0.023193,0.001892,4.745255409943638e-06,0.30212
190,0.016548,0.020874,0.004326,4.770230134454323e-06,0.15199
191,0.02684,0.02124,0.0056,4.795204858965008e-06,0.53105
192,0.022083,0.024292,0.002209,4.820180038223043e-06,0.20479
193,0.017296,0.019165,0.001869,4.845154762733728e-06,0.26301
194,0.017836,0.038574,0.020739,4.870129941991763e-06,0.21616
195,0.022434,0.035889,0.013454,4.895104666502448e-06,0.19887
196,0.022324,0.038818,0.016495,4.920079391013132e-06,0.23203
197,0.019707,0.037109,0.017403,4.945055025018519e-06,0.35052
198,0.018799,0.039062,0.020264,4.970029749529203e-06,0.32783
199,0.024734,0.030151,0.005417,4.995004928787239e-06,0.21954
200,0.019348,0.031494,0.012146,5.019980108045274e-06,0.27306
201,0.019295,0.029907,0.010612,5.044954832555959e-06,0.19235
202,0.016472,0.03125,0.014778,5.069930466561345e-06,0.20985
203,0.01759,0.026245,0.008656,5.09490519107203e-06,0.20214
204,0.020309,0.021606,0.001297,5.119879915582715e-06,0.19252
205,0.015491,0.022461,0.006969,5.14485509484075e-06,0.19644
206,0.017982,0.027344,0.009361,5.169830274098786e-06,0.20237
207,0.015762,0.026489,0.010727,5.19480499860947e-06,0.21154
208,0.027359,0.025757,0.001602,5.219779723120155e-06,0.25267
209,0.020554,0.025757,0.005203,5.24475490237819e-06,0.18994
210,0.009529,0.038086,0.028557,5.269729626888875e-06,0.16399
211,0.013046,0.032959,0.019913,5.294705260894261e-06,0.12618
212,0.0172,0.025024,0.007824,5.319680894899648e-06,0.21069
213,0.016693,0.026367,0.009674,5.344655619410332e-06,0.23752
214,0.018009,0.034668,0.016659,5.369630798668368e-06,0.20713
215,0.014362,0.032471,0.018108,5.394605523179052e-06,0.14746
216,0.032158,0.023193,0.008965,5.419580247689737e-06,0.31668
217,0.013241,0.021362,0.008121,5.4445554269477725e-06,0.20421
218,0.017239,0.0177,0.000462,5.469530606205808e-06,0.21487
219,0.024296,0.022461,0.001835,5.494505330716493e-06,0.3375
220,0.014641,0.022217,0.007576,5.519480055227177e-06,0.16884
221,0.028278,0.029907,0.001629,5.544455234485213e-06,0.23641
222,0.017727,0.025391,0.007664,5.569429958995897e-06,0.1559
223,0.014442,0.019775,0.005333,5.594405593001284e-06,0.29951
224,0.018837,0.026855,0.008018,5.61938122700667e-06,0.16498
225,0.013897,0.023315,0.009418,5.644355951517355e-06,0.20627
226,0.016193,0.026611,0.010418,5.66933113077539e-06,0.14835
227,0.01865,0.024292,0.005642,5.694305855286075e-06,0.17958
228,0.013157,0.025391,0.012234,5.719280579796759e-06,0.18644
229,0.014214,0.016846,0.002632,5.744255759054795e-06,0.16916
230,0.015907,0.02002,0.004112,5.76923093831283e-06,0.15678
231,0.015991,0.018311,0.002319,5.794205662823515e-06,0.19275
232,0.016983,0.025391,0.008408,5.8191803873342e-06,0.20338
233,0.013863,0.022827,0.008965,5.844155566592235e-06,0.19425
234,0.017712,0.029419,0.011707,5.86913029110292e-06,0.18944
235,0.023933,0.02356,0.000374,5.894105925108306e-06,0.21287
236,0.01685,0.026489,0.00964,5.9190815591136925e-06,0.20435
237,0.012386,0.026001,0.013615,5.944056283624377e-06,0.15107
238,0.017467,0.025757,0.008289,5.969031462882413e-06,0.17601
239,0.022194,0.025146,0.002953,5.994006187393097e-06,0.24287
240,0.015495,0.021362,0.005867,6.018980911903782e-06,0.17141
241,0.015465,0.019775,0.004311,6.043956091161817e-06,0.16235
242,0.022064,0.02771,0.005646,6.068931270419853e-06,0.16849
243,0.012711,0.018066,0.005356,6.093905994930537e-06,0.13809
244,0.013588,0.017456,0.003868,6.118880719441222e-06,0.1544
245,0.016922,0.025269,0.008347,6.1438558986992575e-06,0.16972
246,0.016834,0.023193,0.006359,6.168830623209942e-06,0.15105
247,0.015221,0.015869,0.000648,6.193805347720627e-06,0.15026
248,0.02203,0.023804,0.001774,6.218781891220715e-06,0.28309
249,0.020573,0.028442,0.00787,6.2437566157313995e-06,0.18392
250,0.015385,0.021118,0.005733,6.268731794989435e-06,0.12791
251,0.016266,0.025269,0.009003,6.29370651950012e-06,0.16532
252,0.016357,0.021973,0.005615,6.318681244010804e-06,0.18088
253,0.014557,0.022095,0.007538,6.34365642326884e-06,0.15974
254,0.023476,0.022095,0.001381,6.368631147779524e-06,0.26564
255,0.030548,0.021973,0.008575,6.39360632703756e-06,0.29315
256,0.015579,0.031738,0.016159,6.4185810515482444e-06,0.12698
257,0.021973,0.030884,0.008911,6.443555776058929e-06,0.15252
258,0.016037,0.032715,0.016678,6.4685309553169645e-06,0.13591
259,0.014595,0.033447,0.018852,6.493507498817053e-06,0.15769
260,0.014664,0.022583,0.007919,6.518480404338334e-06,0.16948
261,0.020782,0.019043,0.00174,6.543456947838422e-06,0.24151
262,0.029152,0.021118,0.008034,6.568432127096457e-06,0.22504
263,0.028748,0.023682,0.005066,6.593406851607142e-06,0.23846
264,0.021965,0.023804,0.001839,6.618381576117827e-06,0.18173
265,0.029053,0.024902,0.00415,6.643356755375862e-06,0.21657
266,0.014431,0.016357,0.001926,6.668331479886547e-06,0.14747
267,0.012775,0.014832,0.002056,6.693306659144582e-06,0.12324
268,0.013088,0.01532,0.002232,6.718281383655267e-06,0.11716
269,0.013657,0.015259,0.001602,6.7432561081659514e-06,0.14045
270,0.019894,0.019897,4e-06,6.768231287423987e-06,0.18608
271,0.012306,0.025391,0.013084,6.7932060119346716e-06,0.13013
272,0.013008,0.022217,0.009209,6.81818255543476e-06,0.16766
273,0.0173,0.021973,0.004673,6.843157279945444e-06,0.1595
